Title,Authors,Abstract,URL
Tracer Kinetic Modeling in PET,"M'hamed Bentourkia, Habib Zaidi","Molecular imaging using PET provides a unique tool for noninvasively investigating the biochemistry of living organs. The wide range of radiolabeled molecules makes it possible to explore various biochemical, physiologic, and pharmacologic processes in vivo. Because each radiotracer is characterized by its particular kinetic behavior in the human body, the quantification of this behavior is a critical component for the improvement of imaging protocols and for rapid translation from research and development to the clinic. Suitable image reconstruction algorithms combined with tracer kinetic modeling techniques are needed to assess parametric or quantitative biologic images from the available fourdimensional images. An appropriate mathematical model is generally used to fit the time-activity curves of a region or volume of interest, thus allowing the assessment of biologic parameters.",https://pubmed.ncbi.nlm.nih.gov/27157877/
Total-Body PET Kinetic Modeling and Potential Opportunities Using Deep Learning,"Yiran Wang, Elizabeth Li, Simon R Cherry, Guobao Wang","The uEXPLORER total-body PET/CT system provides a very high level of detection sensitivity and simultaneous coverage of the entire body for dynamic imaging for quantification of tracer kinetics. This article describes the fundamentals and potential benefits of total-body kinetic modeling and parametric imaging focusing on the noninvasive derivation of blood input function, multiparametric imaging, and high-temporal resolution kinetic modeling. Along with its attractive properties, total-body kinetic modeling also brings significant challenges, such as the large scale of total-body dynamic PET data, the need for organ and tissue appropriate input functions and kinetic models, and total-body motion correction. These challenges, and the opportunities using deep learning, are discussed.",https://pubmed.ncbi.nlm.nih.gov/34353745/
Machine learning methods for tracer kinetic modelling,"Isabelle Miederer, Kuangyu Shi, Thomas Wendler","Tracer kinetic modelling based on dynamic PET is an important field of Nuclear Medicine for quantitative functional imaging. Yet, its implementation in clinical routine has been constrained by its complexity and computational costs. Machine learning poses an opportunity to improve modelling processes in terms of arterial input function prediction, the prediction of kinetic modelling parameters and model selection in both clinical and preclinical studies while reducing processing time. Moreover, it can help improving kinetic modelling data used in downstream tasks such as tumor detection. In this review, we introduce the basics of tracer kinetic modelling and present a literature review of original works and conference papers using machine learning methods in this field.",https://pubmed.ncbi.nlm.nih.gov/37820696/
Kinetic modeling in PET imaging of hypoxia,"Fan Li, Jesper T Joergensen, Anders E Hansen, Andreas Kjaer","Tumor hypoxia is associated with increased therapeutic resistance leading to poor treatment outcome. Therefore the ability to detect and quantify intratumoral oxygenation could play an important role in future individual personalized treatment strategies. Positron Emission Tomography (PET) can be used for non-invasive mapping of tissue oxygenation in vivo and several hypoxia specific PET tracers have been developed. Evaluation of PET data in the clinic is commonly based on visual assessment together with semiquantitative measurements e.g. standard uptake value (SUV). However, dynamic PET contains additional valuable information on the temporal changes in tracer distribution. Kinetic modeling can be used to extract relevant pharmacokinetic parameters of tracer behavior in vivo that reflects relevant physiological processes. In this paper, we review the potential contribution of kinetic analysis for PET imaging of hypoxia.",https://pubmed.ncbi.nlm.nih.gov/25250200/
Comparison of Tracer Kinetic Models for 68Ga-PSMA-11 PET in Intermediate Risk Primary Prostate Cancer Patients,"Nathaniel J Smith, Mark A Green, Clinton D Bahler, Mark Tann, Wendy Territo, Anne M Smith, Gary D Hutchins","Background: 68Ga-PSMA-11 positron emission tomography enables the detection of primary, recurrent, and metastatic prostate cancer. Regional radiopharmaceutical uptake is generally evaluated in static images and quantified as standard uptake values (SUV) for clinical decision-making. However, analysis of dynamic images characterizing both tracer uptake and pharmacokinetics may offer added insights into the underlying tissue pathophysiology. This study was undertaken to evaluate the suitability of various kinetic models for68Ga-PSMA-11 PET analysis. Twenty-three lesions in 18 patients were included in a retrospective kinetic evaluation of 55-minute dynamic68Ga-PSMA-11 pre-prostatectomy PET scans from patients with biopsy-demonstrated intermediate to high-risk prostate cancer. A reversible one-tissue compartment model, irreversible two-tissue compartment model, and a reversible two-tissue compartment model were evaluated for their goodness-of-fit to lesion and normal reference prostate time-activity curves. Kinetic parameters obtained through graphical analysis and tracer kinetic modeling techniques were compared for reference prostate tissue and lesion regions of interest.

Results: Supported by goodness-of-fit and information loss criteria, the irreversible two-tissue compartment model was selected as optimally fitting the time-activity curves. Lesions exhibited significant differences in kinetic rate constants (K1, k2, k3, Ki) and semiquantitative measures (SUV) when compared with reference prostatic tissue. The two-tissue irreversible tracer kinetic model was consistently appropriate across prostatic zones.

Conclusions: An irreversible tracer kinetic model is appropriate for dynamic analysis of68Ga-PSMA-11 PET images. Kinetic parameters estimated by Patlak graphical analysis or full compartmental analysis can distinguish tumor from normal prostate tissue.",https://pubmed.ncbi.nlm.nih.gov/37961116/
High-Temporal-Resolution Lung Kinetic Modeling Using Total-Body Dynamic PET with Time-Delay and Dispersion Corrections,"Yiran Wang, Benjamin A Spencer, Jeffrey Schmall, Elizabeth Li, Ramsey D Badawi, Terry Jones, Simon R Cherry, Guobao Wang","Tracer kinetic modeling in dynamic PET has the potential to improve the diagnosis, prognosis, and research of lung diseases. The advent of total-body PET systems with much greater detection sensitivity enables high-temporal-resolution (HTR) dynamic PET imaging of the lungs. However, existing models may become insufficient for modeling the HTR data. In this paper, we investigate the necessity of additional corrections to the input function for HTR lung kinetic modeling.Methods:Dynamic scans with HTR frames of as short as 1 s were performed on 13 healthy subjects with a bolus injection of about [Formula: see text] of18F-FDG using the uEXPLORER total-body PET/CT system. Three kinetic models with and without time-delay and dispersion corrections were compared for the quality of lung time-activity curve fitting using the Akaike information criterion. The impact on quantification of18F-FDG delivery rate [Formula: see text], net influx rate [Formula: see text] and fractional blood volume [Formula: see text] was assessed. Parameter identifiability analysis was also performed to evaluate the reliability of kinetic quantification with respect to noise. Correlation of kinetic parameters with age was investigated.Results:HTR dynamic imaging clearly revealed the rapid change in tracer concentration in the lungs and blood supply (i.e., the right ventricle). The uncorrected input function led to poor time-activity curve fitting and biased quantification in HTR kinetic modeling. The fitting was improved by time-delay and dispersion corrections. The proposed model resulted in an approximately 85% decrease in [Formula: see text], an approximately 75% increase in [Formula: see text], and a more reasonable [Formula: see text] (∼0.14) than the uncorrected model (∼0.04). The identifiability analysis showed that the proposed models had good quantification stability for [Formula: see text], [Formula: see text], and [Formula: see text] The [Formula: see text] estimated by the proposed model with simultaneous time-delay and dispersion corrections correlated inversely with age, as would be expected.Conclusion:Corrections to the input function are important for accurate lung kinetic analysis of HTR dynamic PET data. The modeling of both delay and dispersion can improve model fitting and significantly impact quantification of [Formula: see text], [Formula: see text], and [Formula: see text].",https://pubmed.ncbi.nlm.nih.gov/37116916/
Kinetic Modeling of the Tau PET Tracer 18F-AV-1451 in Human Healthy Volunteers and Alzheimer Disease Subjects,"Olivier Barret, David Alagille, Sandra Sanabria, Robert A Comley, Robby M Weimer, Edilio Borroni, Mark Mintun, Nicholas Seneca, Caroline Papin, Thomas Morley, Ken Marek, John P Seibyl, Gilles D Tamagnan, Danna Jennings","18F-AV-1451 is currently the most widely used of several experimental tau PET tracers. The objective of this study was to evaluate18F-AV-1451 binding with full kinetic analysis using a metabolite-corrected arterial input function and to compare parameters derived from kinetic analysis with SUV ratio (SUVR) calculated over different imaging time intervals.Methods:18F-AV-1451 PET brain imaging was completed in 16 subjects: 4 young healthy volunteers (YHV), 4 aged healthy volunteers (AHV), and 8 Alzheimer disease (AD) subjects. Subjects were imaged for 3.5 h, with arterial blood samples obtained throughout. PET data were analyzed using plasma and reference tissue-based methods to estimate the distribution volume, binding potential (BPND), and SUVR. BPNDand SUVR were calculated using the cerebellar cortex as a reference region and were compared across the different methods and across the 3 groups (YHV, AHV, and AD).Results:AD demonstrated increased18F-AV-1451 retention compared with YHV and AHV based on both invasive and noninvasive analyses in cortical regions in which paired helical filament tau accumulation is expected in AD. A correlation ofR2> 0.93 was found between BPND(130 min) and SUVR-1 at all time intervals. Cortical SUVR curves reached a relative plateau around 1.0-1.2 for YHV and AHV by approximately 50 min, but increased in AD by up to approximately 20% at 110-130 min and approximately 30% at 160-180 min relative to 80-100 min. Distribution volume (130 min) was lower by 30%-35% in the YHV than AHV.Conclusion:Our data suggest that although18F-AV-1451 SUVR curves do not reach a plateau and are still increasing in AD, an SUVR calculated over an imaging window of 80-100 min (as currently used in clinical studies) provides estimates of paired helical filament tau burden in good correlation with BPND, whereas SUVR sensitivity to regional cerebral blood changes needs further investigation.",https://pubmed.ncbi.nlm.nih.gov/27908967/
"Pharmacokinetic Modeling of [11C]GSK-189254, PET Tracer Targeting H3 Receptors, in Rat Brain","Nafiseh Ghazanfari, Aren van Waarde, Janine Doorduin, Jürgen W A Sijbesma, Maria Kominia, Martin Koelewijn, Khaled Attia, Antoon T M Willemsen, Ton J Visser, André Heeres, Rudi A J O Dierckx, Erik F J de Vries, Philip H Elsinga","The histamine H3receptor has been considered as a target for the treatment of various central nervous system diseases. Positron emission tomography (PET) studies with the radiolabeled potent and selective histamine H3receptor antagonist [11C]GSK-189254 in rodents could be used to examine the mechanisms of action of novel therapeutic drugs or to assess changes of regional H3receptor density in animal models of neurodegenerative disease. [11C]GSK-189254 was intravenously administered to healthy Wistar rats (n= 10), and a 60 min dynamic PET scan was carried out. Arterial blood samples were obtained during the scan to generate a metabolite-corrected plasma input function. PET data were analyzed using a one-tissue compartment model (1T2k), irreversible (2T3k) or reversible two-tissue compartment models (2T4k), graphical analysis (Logan and Patlak), reference tissue models (SRTM and SRTM2), and standard uptake values (SUVs). The Akaike information criterion and the standard error of the estimated parameters were used to select the most optimal quantification method. This study demonstrated that the 2T4k model with a fixed blood volume fraction and Logan graphical analysis can best describe the kinetics of [11C]GSK-189254 in the rat brain. SUV40-60and the reference tissue-based measurements DVR(2T4k), BPND(SRTM), and SUV ratio could also be used as a simplified method to estimate H3receptor availability in case blood sampling is not feasible.",https://pubmed.ncbi.nlm.nih.gov/35170965/
MRI-Guided Derivation of the Input Function for PET Kinetic Modeling,"Marie Anne Richard, Jérémie P Fouquet, Réjean Lebel, Martin Lepage","Blood samples obtained by arterial cannulation are the gold standard to measure the input function for PET pharmacokinetic modeling. There is interest in less invasive methods, such as image-derived input functions (IDAIF). MRI can be used to segment and correct partial volume effects of the PET images, improving IDAIF extraction. Preclinical studies have shown that the input function of PET tracers, namely fluorodeoxyglucose and [(18)F]fluoroethyl-l-tyrosine, can be derived from the Gd-DTPA input function. Noninvasive, MRI-guided, PET input function derivation is a promising avenue to reduce or eliminate the need for arterial plasma samples in preclinical and clinical settings.",https://pubmed.ncbi.nlm.nih.gov/26952731/
Validation of Noninvasive Tracer Kinetic Analysis of 18F-Florbetaben PET Using a Dual-Time-Window Acquisition Protocol,"Santiago Bullich, Henryk Barthel, Norman Koglin, Georg A Becker, Susan De Santi, Aleksandar Jovalekic, Andrew W Stephens, Osama Sabri","Accurate amyloid PET quantification is necessary for monitoring amyloid-β accumulation and response to therapy. Currently, most of the studies are analyzed using the static SUV ratio (SUVR) approach because of its simplicity. However, this approach may be influenced by changes in cerebral blood flow (CBF) or radiotracer clearance. Full tracer kinetic models require arterial blood sampling and dynamic image acquisition. The objectives of this work were, first, to validate a noninvasive kinetic modeling approach for18F-florbetaben PET using an acquisition protocol with the best compromise between quantification accuracy and simplicity and, second, to assess the impact of CBF changes and radiotracer clearance on SUVRs and noninvasive kinetic modeling data in18F-florbetaben PET.Methods:Using data from 20 subjects (10 patients with probable Alzheimer dementia and 10 healthy volunteers), the nondisplaceable binding potential (BPND) obtained from the full kinetic analysis was compared with the SUVR and with noninvasive tracer kinetic methods (simplified reference tissue model and multilinear reference tissue model 2). Various approaches using shortened or interrupted acquisitions were compared with the results of the full acquisition (0-140 min). Simulations were performed to assess the effect of CBF and radiotracer clearance changes on SUVRs and noninvasive kinetic modeling outputs.Results:An acquisition protocol using time windows of 0-30 and 120-140 min with appropriate interpolation of the missing time points provided the best compromise between patient comfort and quantification accuracy. Excellent agreement was found between BPNDobtained using the full protocol and BPNDobtained using the dual-window protocol (for multilinear reference tissue model 2, BPND[dual-window] = 0.01 + 1.00·BPND[full],R2= 0.97; for simplified reference tissue model, BPND[dual-window] = 0.05 + 0.92·BPND[full],R2= 0.93). Simulations showed a limited impact of CBF and radiotracer clearance changes on multilinear reference tissue model parameters and SUVR.Conclusion:This study demonstrated accurate noninvasive kinetic modeling of18F-florbetaben PET data using a dual-window acquisition, thus providing a good compromise between quantification accuracy, scan duration, and patient burden. The influence of CBF and radiotracer clearance changes on amyloid-β load estimates was small. For most clinical research applications, the SUVR approach is appropriate. However, for longitudinal studies in which maximum quantification accuracy is desired, this noninvasive dual-window acquisition with kinetic analysis is recommended.",https://pubmed.ncbi.nlm.nih.gov/29175981/
